dataelement,period,orgunit,categoryoptioncombo,attributeoptioncombo,value,storedby,lastupdated,comment,followup,deleted
ah_7a1_largeRuminant_faecal_qtr,2023Q2,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a1_largeRuminant_faecal_qtr,2023Q3,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a1_largeRuminant_faecal_qtr,2023Q4,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a1_largeRuminant_faecal_qtr,2023Q1,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a1_largeRuminant_faecal_qtr,2022Q1,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a1_largeRuminant_faecal_qtr,2021Q1,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a1_largeRuminant_faecal_qtr,2021Q2,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a1_largeRuminant_faecal_qtr,2022Q4,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a1_largeRuminant_faecal_qtr,2022Q2,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a1_largeRuminant_faecal_qtr,2021Q4,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a1_largeRuminant_faecal_qtr,2022Q3,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a1_largeRuminant_faecal_qtr,2025Q2,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user1,2025-07-07T05:56:38.901+0000,,FALSE,null
ah_7a1_largeRuminant_faecal_qtr,2024Q4,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user1,2024-12-31T04:41:28.275+0000,,FALSE,null
ah_7a1_largeRuminant_faecal_qtr,2025Q3,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user1,2025-10-07T09:17:34.537+0000,,FALSE,null
ah_7a1_largeRuminant_faecal_qtr,2024Q2,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user4,2024-07-14T05:33:28.882+0000,,FALSE,null
ah_7a1_largeRuminant_faecal_qtr,2024Q3,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user4,2024-10-07T05:36:50.921+0000,,FALSE,null
ah_7a1_largeRuminant_faecal_qtr,2025Q1,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user1,2025-04-07T04:30:20.760+0000,,FALSE,null
ah_7a2_largeRuminant_milk_qtr,2023Q2,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a2_largeRuminant_milk_qtr,2023Q3,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a2_largeRuminant_milk_qtr,2023Q4,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a2_largeRuminant_milk_qtr,2023Q1,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a2_largeRuminant_milk_qtr,2022Q1,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a2_largeRuminant_milk_qtr,2021Q1,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a2_largeRuminant_milk_qtr,2021Q2,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a2_largeRuminant_milk_qtr,2022Q4,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a2_largeRuminant_milk_qtr,2022Q2,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a2_largeRuminant_milk_qtr,2021Q4,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a2_largeRuminant_milk_qtr,2022Q3,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user2,2025-11-03T06:08:48.000+0000,,FALSE,null
ah_7a2_largeRuminant_milk_qtr,2025Q2,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user1,2025-07-07T05:56:40.644+0000,,FALSE,null
ah_7a2_largeRuminant_milk_qtr,2024Q4,LAB11_Laboratory Name 11,HllvX50cXC0,HllvX50cXC0,0,user1,2024-12-31T04:41:28.955+0000,,FALSE,null
