dataelement,period,orgunit,categoryoptioncombo,attributeoptioncombo,value,storedby,lastupdated,comment,followup,deleted
ah_4a1_sampleEnvironment_plan,2024S2,LAB17_Laboratory Name 17,HllvX50cXC0,HllvX50cXC0,No change from current status,user1,2024-12-23T05:20:44.182+0000,,FALSE,null
ah_5a1_testAnimalFeed,2024S2,LAB17_Laboratory Name 17,HllvX50cXC0,HllvX50cXC0,FALSE,user1,2024-12-23T05:21:32.994+0000,,FALSE,null
ah_5b1_sampleCollection,2024S2,LAB17_Laboratory Name 17,HllvX50cXC0,HllvX50cXC0,TRUE,user1,2024-12-23T05:22:20.596+0000,,FALSE,null
ah_lshtm_1b1_sops,2024S2,LAB17_Laboratory Name 17,HllvX50cXC0,HllvX50cXC0,TRUE,user1,2024-12-23T05:22:25.635+0000,,FALSE,null
ah_lshtm_1a1_guidelines,2024S2,LAB17_Laboratory Name 17,HllvX50cXC0,HllvX50cXC0,TRUE,user1,2024-12-23T05:22:53.592+0000,,FALSE,null
ah_lshtm_1b3_qc,2024S2,LAB17_Laboratory Name 17,HllvX50cXC0,HllvX50cXC0,TRUE,user1,2024-12-23T05:23:23.549+0000,,FALSE,null
ah_lshtm_1b2_soptraining,2024S2,LAB17_Laboratory Name 17,HllvX50cXC0,HllvX50cXC0,All staff,user1,2024-12-23T05:23:45.031+0000,,FALSE,null
ah_1a1_samplePassive,2024S1,LAB15_Laboratory Name 15,HllvX50cXC0,HllvX50cXC0,TRUE,user2,2024-07-10T07:39:06.811+0000,,FALSE,null
ah_6j5_dataSubmitActiveSurv,2024S1,LAB15_Laboratory Name 15,HllvX50cXC0,HllvX50cXC0,"Yes, after each round",user2,2024-07-10T09:14:35.218+0000,,FALSE,null
ah_lshtm_4a4_datasharing_other,2024S1,LAB15_Laboratory Name 15,HllvX50cXC0,HllvX50cXC0,Yes,user2,2024-07-29T14:43:31.129+0000,,FALSE,null
ah_lshtm_1b4_qctraining_narrative,2024S2,LAB17_Laboratory Name 17,HllvX50cXC0,HllvX50cXC0,"Sample handling, collection, transportation, biosafety",user1,2024-12-23T05:24:54.583+0000,,FALSE,null
ah_5b3_sampleReceivalTraining,2024S2,LAB17_Laboratory Name 17,HllvX50cXC0,HllvX50cXC0,All staff,user1,2024-12-23T05:25:37.286+0000,,FALSE,null
ah_lshtm_2a1_transport_sop,2024S2,LAB17_Laboratory Name 17,HllvX50cXC0,HllvX50cXC0,TRUE,user1,2024-12-23T05:26:17.666+0000,,FALSE,null
