dataelement,period,orgunit,categoryoptioncombo,attributeoptioncombo,value,storedby,lastupdated,comment,followup,deleted
hh_8a1_cerebrospinalfluid_qtr,2023Q2,LAB10_Laboratory Name 10,HllvX50cXC0,HllvX50cXC0,13,user2,2025-10-01T06:08:48.000+0000,,FALSE,null
hh_8a1_cerebrospinalfluid_qtr,2023Q3,LAB10_Laboratory Name 10,HllvX50cXC0,HllvX50cXC0,15,user2,2025-10-01T06:08:48.000+0000,,FALSE,null
hh_8a1_cerebrospinalfluid_qtr,2023Q4,LAB10_Laboratory Name 10,HllvX50cXC0,HllvX50cXC0,7,user2,2025-10-01T06:08:48.000+0000,,FALSE,null
hh_8a1_cerebrospinalfluid_qtr,2023Q1,LAB10_Laboratory Name 10,HllvX50cXC0,HllvX50cXC0,12,user2,2025-10-01T06:08:48.000+0000,,FALSE,null
hh_8a1_cerebrospinalfluid_qtr,2022Q1,LAB10_Laboratory Name 10,HllvX50cXC0,HllvX50cXC0,6,user2,2025-10-01T06:08:48.000+0000,,FALSE,null
hh_8a1_cerebrospinalfluid_qtr,2021Q3,LAB10_Laboratory Name 10,HllvX50cXC0,HllvX50cXC0,20,user2,2025-10-01T06:08:48.000+0000,,FALSE,null
hh_8a1_cerebrospinalfluid_qtr,2021Q1,LAB10_Laboratory Name 10,HllvX50cXC0,HllvX50cXC0,16,user2,2025-10-01T06:08:48.000+0000,,FALSE,null
hh_8a1_cerebrospinalfluid_qtr,2021Q2,LAB10_Laboratory Name 10,HllvX50cXC0,HllvX50cXC0,23,user2,2025-10-01T06:08:48.000+0000,,FALSE,null
hh_8a1_cerebrospinalfluid_qtr,2022Q4,LAB10_Laboratory Name 10,HllvX50cXC0,HllvX50cXC0,9,user2,2025-10-01T06:08:48.000+0000,,FALSE,null
hh_8a1_cerebrospinalfluid_qtr,2022Q2,LAB10_Laboratory Name 10,HllvX50cXC0,HllvX50cXC0,11,user2,2025-10-01T06:08:48.000+0000,,FALSE,null
hh_8a1_cerebrospinalfluid_qtr,2021Q4,LAB10_Laboratory Name 10,HllvX50cXC0,HllvX50cXC0,31,user2,2025-10-01T06:08:48.000+0000,,FALSE,null
